"frame_number","x","y","sequence_id","sequence_annotation","number_of_points","still_file","Path","site_id","xdim","ydim","sequence_id_original","pole_id"
0,322.6666667,291.5555556,0,"Lt",1,"a(14)_01.jpeg","F:\Stills\APAPD\OCPD57Stills\","OCPD57a",720,480,0,"OCPD57a_0"
0,324,292.4444444,1,"Lt",9,"a(14)_01.jpeg","F:\Stills\APAPD\OCPD57Stills\","OCPD57a",720,480,1,"OCPD57a_0"
1,416.4444444,279.1111111,1,"Lt",9,"a(14)_02.jpeg","F:\Stills\APAPD\OCPD57Stills\","OCPD57a",720,480,1,"OCPD57a_1"
2,488.4444444,268.4444444,1,"Lt",9,"a(14)_03.jpeg","F:\Stills\APAPD\OCPD57Stills\","OCPD57a",720,480,1,"OCPD57a_2"
3,522.2222222,263.1111111,1,"Lt",9,"a(14)_04.jpeg","F:\Stills\APAPD\OCPD57Stills\","OCPD57a",720,480,1,"OCPD57a_3"
4,536.4444444,258.6666667,1,"Lt",9,"a(14)_05.jpeg","F:\Stills\APAPD\OCPD57Stills\","OCPD57a",720,480,1,"OCPD57a_4"
5,548,252.4444444,1,"Lt",9,"a(14)_06.jpeg","F:\Stills\APAPD\OCPD57Stills\","OCPD57a",720,480,1,"OCPD57a_5"
6,560.4444444,247.1111111,1,"Lt",9,"a(14)_07.jpeg","F:\Stills\APAPD\OCPD57Stills\","OCPD57a",720,480,1,"OCPD57a_6"
7,577.3333333,240.8888974,1,"Lt",9,"a(14)_08.jpeg","F:\Stills\APAPD\OCPD57Stills\","OCPD57a",720,480,1,"OCPD57a_7"
8,587.1111111,236.4444377,1,"Lt",9,"a(14)_09.jpeg","F:\Stills\APAPD\OCPD57Stills\","OCPD57a",720,480,1,"OCPD57a_8"
4,1836,1242.133333,2,"20",1,NA,NA,"OCPD57a",3264,2448,0,"OCPD57a_4"
4,1860.933333,874.9333333,3,"40",1,NA,NA,"OCPD57a",3264,2448,1,"OCPD57a_4"
7,2037.733333,1187.733333,4,"20",1,NA,NA,"OCPD57a",3264,2448,2,"OCPD57a_7"
7,2046.8,929.3333333,5,"40",1,NA,NA,"OCPD57a",3264,2448,3,"OCPD57a_7"
9,2055.866667,1174.133333,6,"20",1,NA,NA,"OCPD57a",3264,2448,4,"OCPD57a_9"
9,2060.4,997.3333333,7,"40",1,NA,NA,"OCPD57a",3264,2448,5,"OCPD57a_9"
10,2237.2,1160.533333,8,"20",1,NA,NA,"OCPD57a",3264,2448,6,"OCPD57a_10"
10,2241.733333,1015.466667,9,"40",1,NA,NA,"OCPD57a",3264,2448,7,"OCPD57a_10"
23,2832.545034,522.9467205,10,"80",1,NA,NA,"OCPD57a",3264,2448,8,"OCPD57a_23"
23,2843.439584,748.1007631,11,"60",1,NA,NA,"OCPD57a",3264,2448,9,"OCPD57a_23"
25,2730.862563,1191.145815,12,"20",1,NA,NA,"OCPD57a",3264,2448,10,"OCPD57a_25"
25,2716.336496,918.7820535,13,"40",1,NA,NA,"OCPD57a",3264,2448,11,"OCPD57a_25"
27,3242.906434,1231.0925,14,"20",1,NA,NA,"OCPD57a",3264,2448,12,"OCPD57a_27"
27,3246.537951,780.7844144,15,"40",1,NA,NA,"OCPD57a",3264,2448,13,"OCPD57a_27"
29,2545.655205,1303.722836,16,"20",1,NA,NA,"OCPD57a",3264,2448,14,"OCPD57a_29"
29,2578.338857,693.6280108,17,"40",1,NA,NA,"OCPD57a",3264,2448,15,"OCPD57a_29"
37,355.8505647,1158.462163,18,"20",1,NA,NA,"OCPD57a",3264,2448,16,"OCPD57a_37"
37,352.2190479,813.4680658,19,"40",1,NA,NA,"OCPD57a",3264,2448,17,"OCPD57a_37"
41,838.8423013,849.783234,20,"40",1,NA,NA,"OCPD57a",3264,2448,18,"OCPD57a_41"
41,856.9998854,639.1552586,21,"60",1,NA,NA,"OCPD57a",3264,2448,19,"OCPD57a_41"
48,2611.022508,1241.98705,22,"20",1,NA,NA,"OCPD57a",3264,2448,20,"OCPD57a_48"
48,2611.022508,922.4135703,23,"40",1,NA,NA,"OCPD57a",3264,2448,21,"OCPD57a_48"
55,846.105335,1183.882781,24,"20",1,NA,NA,"OCPD57a",3264,2448,22,"OCPD57a_55"
55,838.8423013,889.7299189,25,"40",1,NA,NA,"OCPD57a",3264,2448,23,"OCPD57a_55"
0,322.6666667,291.5555556,26,"Lt",1,"a(14)_01.jpeg","F:\Stills\APAPD\OCPD57Stills\","OCPD57b",720,480,0,"OCPD57b_0"
0,324,292.4444444,27,"Lt",9,"a(14)_01.jpeg","F:\Stills\APAPD\OCPD57Stills\","OCPD57b",720,480,1,"OCPD57b_0"
1,416.4444444,279.1111111,27,"Lt",9,"a(14)_02.jpeg","F:\Stills\APAPD\OCPD57Stills\","OCPD57b",720,480,1,"OCPD57b_1"
2,488.4444444,268.4444444,27,"Lt",9,"a(14)_03.jpeg","F:\Stills\APAPD\OCPD57Stills\","OCPD57b",720,480,1,"OCPD57b_2"
3,522.2222222,263.1111111,27,"Lt",9,"a(14)_04.jpeg","F:\Stills\APAPD\OCPD57Stills\","OCPD57b",720,480,1,"OCPD57b_3"
