x,y,frame_number,sequence_id,sequence_annotation,number_of_points,filename,file_last_mod_date
1052.444444,1405.155556,7,0,0.2,1,IMG_0059.JPG,Tue Aug 21 2018 15:48:24 GMT+0100 (British Summer Time)
978.4888889,250.3111111,7,1,0.4,1,IMG_0059.JPG,Tue Aug 21 2018 15:48:24 GMT+0100 (British Summer Time)
868.8429706,1021.105892,15,2,0.4,1,IMG_0067.JPG,Tue Aug 21 2018 15:48:32 GMT+0100 (British Summer Time)
850.4027061,491.8316574,15,3,0.6,1,IMG_0067.JPG,Tue Aug 21 2018 15:48:32 GMT+0100 (British Summer Time)
1735.774374,998.2574694,25,4,0.4,1,IMG_0077.JPG,Tue Aug 21 2018 15:48:42 GMT+0100 (British Summer Time)
1610.978248,292.6432835,25,5,0.8,1,IMG_0077.JPG,Tue Aug 21 2018 15:48:42 GMT+0100 (British Summer Time)
922.6110143,1016.064572,31,6,0.4,1,IMG_0083.JPG,Tue Aug 21 2018 15:48:48 GMT+0100 (British Summer Time)
924.4876478,311.3887025,31,7,1,1,IMG_0083.JPG,Tue Aug 21 2018 15:48:48 GMT+0100 (British Summer Time)
91.82871724,1246.162405,36,8,0.2,1,IMG_0088.JPG,Tue Aug 21 2018 15:48:52 GMT+0100 (British Summer Time)
123.6250825,341.313297,36,9,1,1,IMG_0088.JPG,Tue Aug 21 2018 15:48:52 GMT+0100 (British Summer Time)
652.9999771,1003.346569,42,10,0.4,1,IMG_0094.JPG,Tue Aug 21 2018 15:49:04 GMT+0100 (British Summer Time)
665.667253,559.9919114,42,11,1,1,IMG_0094.JPG,Tue Aug 21 2018 15:49:04 GMT+0100 (British Summer Time)
1397.056912,988.6799269,47,12,0.4,1,IMG_0099.JPG,Tue Aug 21 2018 15:49:08 GMT+0100 (British Summer Time)
1388.071538,568.4094887,47,13,1,1,IMG_0099.JPG,Tue Aug 21 2018 15:49:08 GMT+0100 (British Summer Time)
2038.084064,1110.917605,50,14,0.2,1,IMG_0102.JPG,Tue Aug 21 2018 15:49:12 GMT+0100 (British Summer Time)
1999.224306,624.4322411,50,15,1,1,IMG_0102.JPG,Tue Aug 21 2018 15:49:12 GMT+0100 (British Summer Time)
600.4510619,1114.403354,64,16,0.2,1,IMG_0116.JPG,Tue Aug 21 2018 15:49:28 GMT+0100 (British Summer Time)
605.867821,719.4442358,64,17,1,1,IMG_0116.JPG,Tue Aug 21 2018 15:49:28 GMT+0100 (British Summer Time)
