x,y,frame_number,sequence_id,sequence_annotation,number_of_points,filename,file_last_mod_date
1778.791805,913.2858727,0,0,Fox,2,09040674.JPG,Tue Sep 04 2018 00:48:48 GMT+0100 (British Summer Time)
472.9659603,826.2308163,1,0,Fox,2,09040675.JPG,Tue Sep 04 2018 00:48:50 GMT+0100 (British Summer Time)
1870.284489,1772.949529,2,1,Fox,2,09040682.JPG,Tue Sep 04 2018 03:03:18 GMT+0100 (British Summer Time)
705.2220384,843.5735459,3,1,Fox,2,09040683.JPG,Tue Sep 04 2018 03:03:22 GMT+0100 (British Summer Time)
1705.222038,1275.573546,4,2,Fox,3,09040684.JPG,Tue Sep 04 2018 03:29:14 GMT+0100 (British Summer Time)
1041.222038,1688.906879,5,2,Fox,3,09040685.JPG,Tue Sep 04 2018 03:29:16 GMT+0100 (British Summer Time)
334.5553717,1787.573546,6,2,Fox,3,09040686.JPG,Tue Sep 04 2018 03:29:16 GMT+0100 (British Summer Time)
1402.555372,944.9068792,7,3,Fox,1,09040688.JPG,Tue Sep 04 2018 03:42:40 GMT+0100 (British Summer Time)
1813.829801,965.978013,8,4,Fox,2,09040689.JPG,Tue Sep 04 2018 04:00:56 GMT+0100 (British Summer Time)
632.4791651,837.3581367,9,4,Fox,2,09040690.JPG,Tue Sep 04 2018 04:00:58 GMT+0100 (British Summer Time)
1814.872672,950.6963744,10,5,Fox,2,09040691.JPG,Tue Sep 04 2018 05:53:46 GMT+0100 (British Summer Time)
702.9326642,901.6852446,11,5,Fox,2,09040692.JPG,Tue Sep 04 2018 05:53:56 GMT+0100 (British Summer Time)
1784.240716,969.075548,12,6,Fox,3,09040693.JPG,Tue Sep 04 2018 05:55:26 GMT+0100 (British Summer Time)
928.0775418,901.6852446,13,6,Fox,3,09040694.JPG,Tue Sep 04 2018 05:55:26 GMT+0100 (British Summer Time)
704.464262,861.8637016,14,6,Fox,3,09040695.JPG,Tue Sep 04 2018 05:55:28 GMT+0100 (British Summer Time)
841.8719208,794.4783024,15,7,Fox,1,09040804.JPG,Tue Sep 04 2018 23:12:50 GMT+0100 (British Summer Time)
1397.39321,890.9573439,16,8,Fox,2,09050805.JPG,Wed Sep 05 2018 01:11:08 GMT+0100 (British Summer Time)
638.7265435,852.2906773,17,8,Fox,2,09050806.JPG,Wed Sep 05 2018 01:11:12 GMT+0100 (British Summer Time)
1287.41694,838.3144076,18,9,Fox,2,09050807.JPG,Wed Sep 05 2018 01:40:54 GMT+0100 (British Summer Time)
699.3189127,848.4191847,19,9,Fox,2,09050808.JPG,Wed Sep 05 2018 01:40:56 GMT+0100 (British Summer Time)
1304.652246,1355.085851,21,10,Fox,9,09050810.JPG,Wed Sep 05 2018 04:35:58 GMT+0100 (British Summer Time)
1304.652246,1355.085851,22,10,Fox,9,09050811.JPG,Wed Sep 05 2018 04:35:58 GMT+0100 (British Summer Time)
1304.652246,1355.085851,23,10,Fox,9,09050812.JPG,Wed Sep 05 2018 04:36:00 GMT+0100 (British Summer Time)
1219.318913,1291.085851,24,10,Fox,9,09050813.JPG,Wed Sep 05 2018 04:36:02 GMT+0100 (British Summer Time)
963.3189127,1168.419185,25,10,Fox,9,09050814.JPG,Wed Sep 05 2018 04:36:02 GMT+0100 (British Summer Time)
787.3189127,1099.085851,26,10,Fox,9,09050815.JPG,Wed Sep 05 2018 04:36:02 GMT+0100 (British Summer Time)
648.652246,1056.419185,27,10,Fox,9,09050816.JPG,Wed Sep 05 2018 04:36:04 GMT+0100 (British Summer Time)
544.652246,1011.085851,28,10,Fox,9,09050817.JPG,Wed Sep 05 2018 04:36:04 GMT+0100 (British Summer Time)
437.9855793,915.0858514,29,10,Fox,9,09050818.JPG,Wed Sep 05 2018 04:36:06 GMT+0100 (British Summer Time)
1722.867866,950.6000939,30,11,Fox,4,09050819.JPG,Wed Sep 05 2018 05:31:58 GMT+0100 (British Summer Time)
643.3851672,927.3854122,31,11,Fox,4,09050820.JPG,Wed Sep 05 2018 05:31:58 GMT+0100 (British Summer Time)
555.1693768,922.7424759,32,11,Fox,4,09050821.JPG,Wed Sep 05 2018 05:32:00 GMT+0100 (British Summer Time)
441.4174366,892.5633897,33,11,Fox,4,09050822.JPG,Wed Sep 05 2018 05:32:14 GMT+0100 (British Summer Time)
1014.561258,861.0509702,34,12,Fox,1,09050833.JPG,Wed Sep 05 2018 06:42:32 GMT+0100 (British Summer Time)
