<<<<<<< HEAD
frame_number,x,y,sequence_id,sequence_annotation,number_of_points,still_file,Path,site_id,CT_serial_number,Folder,xdim,ydim,cam_id,file_name,file_id,Time,Date,PA_cat,Dig,Num_an
0,254.6666667,347.5555556,OCCAJ01_0,Lt,1,a(24)_01.jpeg,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,640,480,B11,a(24),a(24)_OCCAJ01,08:01:58,15/08/2015,strict,Y,
0,257.3333333,347.5555556,OCCAJ01_1,Lt,7,a(24)_01.jpeg,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,640,480,B11,a(24),a(24)_OCCAJ01,08:01:58,15/08/2015,strict,Y,
2,266.2222222,348.4444444,OCCAJ01_1,Lt,7,a(24)_03.jpeg,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,640,480,B11,a(24),a(24)_OCCAJ01,08:01:58,15/08/2015,strict,Y,
4,270.6666667,348.4444444,OCCAJ01_1,Lt,7,a(24)_05.jpeg,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,640,480,B11,a(24),a(24)_OCCAJ01,08:01:58,15/08/2015,strict,Y,
5,328.4444444,346.6666667,OCCAJ01_1,Lt,7,a(24)_06.jpeg,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,640,480,B11,a(24),a(24)_OCCAJ01,08:01:58,15/08/2015,strict,Y,
6,396,348.4444444,OCCAJ01_1,Lt,7,a(24)_07.jpeg,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,640,480,B11,a(24),a(24)_OCCAJ01,08:01:58,15/08/2015,strict,Y,
7,503.5555556,357.3333333,OCCAJ01_1,Lt,7,a(24)_08.jpeg,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,640,480,B11,a(24),a(24)_OCCAJ01,08:01:58,15/08/2015,strict,Y,
8,571.1111111,354.6666667,OCCAJ01_1,Lt,7,a(24)_09.jpeg,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,640,480,B11,a(24),a(24)_OCCAJ01,08:01:58,15/08/2015,strict,Y,
22,336.4444444,325.3333333,OCCAJ01_2,Mt,1,PICT0020_01.jpeg,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,640,480,B11,PICT0020,PICT0020_OCCAJ01,08:55:08,26/09/2015,strict,Y,
22,335.5555556,325.3333333,OCCAJ01_3,Mt,6,PICT0020_01.jpeg,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,640,480,B11,PICT0020,PICT0020_OCCAJ01,08:55:08,26/09/2015,strict,Y,
23,332.8888889,332.4444444,OCCAJ01_3,Mt,6,PICT0020_02.jpeg,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,640,480,B11,PICT0020,PICT0020_OCCAJ01,08:55:08,26/09/2015,strict,Y,
24,309.7777778,342.2222222,OCCAJ01_3,Mt,6,PICT0020_03.jpeg,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,640,480,B11,PICT0020,PICT0020_OCCAJ01,08:55:08,26/09/2015,strict,Y,
25,298.2222222,354.6666667,OCCAJ01_3,Mt,6,PICT0020_04.jpeg,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,640,480,B11,PICT0020,PICT0020_OCCAJ01,08:55:08,26/09/2015,strict,Y,
34,299.1111111,357.3333333,OCCAJ01_3,Mt,6,PICT0020_13.jpeg,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,640,480,B11,PICT0020,PICT0020_OCCAJ01,08:55:08,26/09/2015,strict,Y,
43,299.1111111,357.3333333,OCCAJ01_3,Mt,6,PICT0020_22.jpeg,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,640,480,B11,PICT0020,PICT0020_OCCAJ01,08:55:08,26/09/2015,strict,Y,
84,1046.325429,1819.617067,OCCAJ01_4,0.2,1,PICT0076.JPG,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,2592,1944,B11,PICT0076.JPG,PICT0076.JPG_OCCAJ01,NA,NA,NA,Y,
84,1130.291162,529.5980774,OCCAJ01_5,0.4,1,PICT0076.JPG,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,2592,1944,B11,PICT0076.JPG,PICT0076.JPG_OCCAJ01,NA,NA,NA,Y,
87,1263.87301,1399.788402,OCCAJ01_6,0.2,1,PICT0079.JPG,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,2592,1944,B11,PICT0079.JPG,PICT0079.JPG_OCCAJ01,NA,NA,NA,Y,
87,1317.305749,697.5295435,OCCAJ01_7,0.4,1,PICT0079.JPG,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,2592,1944,B11,PICT0079.JPG,PICT0079.JPG_OCCAJ01,NA,NA,NA,Y,
95,1397.454858,1067.742094,OCCAJ01_8,0.2,1,PICT0087.JPG,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,2592,1944,B11,PICT0087.JPG,PICT0087.JPG_OCCAJ01,NA,NA,NA,Y,
95,1424.171228,834.9280157,OCCAJ01_9,0.4,1,PICT0087.JPG,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,2592,1944,B11,PICT0087.JPG,PICT0087.JPG_OCCAJ01,NA,NA,NA,Y,
105,1424.171228,999.0428576,OCCAJ01_10,0.2,1,PICT0097.JPG,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,2592,1944,B11,PICT0097.JPG,PICT0097.JPG_OCCAJ01,NA,NA,NA,Y,
105,1435.6211,834.9280157,OCCAJ01_11,0.4,1,PICT0097.JPG,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,2592,1944,B11,PICT0097.JPG,PICT0097.JPG_OCCAJ01,NA,NA,NA,Y,
107,1527.220082,957.0599911,OCCAJ01_12,0.2,1,PICT0099.JPG,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,2592,1944,B11,PICT0099.JPG,PICT0099.JPG_OCCAJ01,NA,NA,NA,Y,
107,1542.486579,834.9280157,OCCAJ01_13,0.4,1,PICT0099.JPG,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,2592,1944,B11,PICT0099.JPG,PICT0099.JPG_OCCAJ01,NA,NA,NA,Y,
113,15.83688681,1247.123433,OCCAJ01_14,0.2,1,PICT0105.JPG,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,2592,1944,B11,PICT0105.JPG,PICT0105.JPG_OCCAJ01,NA,NA,NA,Y,
113,23.47013526,594.4806893,OCCAJ01_15,0.4,1,PICT0105.JPG,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,2592,1944,B11,PICT0105.JPG,PICT0105.JPG_OCCAJ01,NA,NA,NA,Y,
117,19.65351104,991.4096092,OCCAJ01_16,0.2,1,PICT0109.JPG,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,2592,1944,B11,PICT0109.JPG,PICT0109.JPG_OCCAJ01,NA,NA,NA,Y,
117,27.28675949,743.3290342,OCCAJ01_17,0.4,1,PICT0109.JPG,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,2592,1944,B11,PICT0109.JPG,PICT0109.JPG_OCCAJ01,NA,NA,NA,Y,
125,2343.977667,1426.504771,OCCAJ01_18,0.2,1,PICT0117.JPG,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,2592,1944,B11,PICT0117.JPG,PICT0117.JPG_OCCAJ01,NA,NA,NA,Y,
125,2401.22703,781.4952765,OCCAJ01_19,0.4,1,PICT0117.JPG,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,2592,1944,B11,PICT0117.JPG,PICT0117.JPG_OCCAJ01,NA,NA,NA,Y,
127,2298.178176,1201.323942,OCCAJ01_20,0.2,1,PICT0119.JPG,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,2592,1944,B11,PICT0119.JPG,PICT0119.JPG_OCCAJ01,NA,NA,NA,Y,
127,2336.344418,865.4610096,OCCAJ01_21,0.4,1,PICT0119.JPG,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,2592,1944,B11,PICT0119.JPG,PICT0119.JPG_OCCAJ01,NA,NA,NA,Y,
135,2450.843145,1094.458463,OCCAJ01_22,0.2,1,PICT0127.JPG,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,2592,1944,B11,PICT0127.JPG,PICT0127.JPG_OCCAJ01,NA,NA,NA,Y,
135,2481.376139,873.094258,OCCAJ01_23,0.4,1,PICT0127.JPG,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,2592,1944,B11,PICT0127.JPG,PICT0127.JPG_OCCAJ01,NA,NA,NA,Y,
157,767.71186,995.2262334,OCCAJ01_24,0.2,1,PICT0149.JPG,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,2592,1944,B11,PICT0149.JPG,PICT0149.JPG_OCCAJ01,NA,NA,NA,Y,
157,786.7949812,785.3119007,OCCAJ01_25,0.4,1,PICT0149.JPG,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,2592,1944,B11,PICT0149.JPG,PICT0149.JPG_OCCAJ01,NA,NA,NA,Y,
183,882.2105869,949.4267426,OCCAJ01_26,0.2,1,PICT0175.JPG,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,2592,1944,B11,PICT0175.JPG,PICT0175.JPG_OCCAJ01,NA,NA,NA,Y,
183,874.5773385,808.2116461,OCCAJ01_27,0.4,1,PICT0175.JPG,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,2592,1944,B11,PICT0175.JPG,PICT0175.JPG_OCCAJ01,NA,NA,NA,Y,
192,1733.31779,1086.825215,OCCAJ01_28,0.2,1,PICT0184.JPG,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,2592,1944,B11,PICT0184.JPG,PICT0184.JPG_OCCAJ01,NA,NA,NA,Y,
192,1721.867917,857.8277611,OCCAJ01_29,0.4,1,PICT0184.JPG,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,2592,1944,B11,PICT0184.JPG,PICT0184.JPG_OCCAJ01,NA,NA,NA,Y,
196,489.0982913,968.5098638,OCCAJ01_30,0.2,1,PICT0188.JPG,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,2592,1944,B11,PICT0188.JPG,PICT0188.JPG_OCCAJ01,NA,NA,NA,Y,
196,492.9149155,789.128525,OCCAJ01_31,0.4,1,PICT0188.JPG,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,2592,1944,B11,PICT0188.JPG,PICT0188.JPG_OCCAJ01,NA,NA,NA,Y,
2,2133,1004.4,OCCAJ04_0,0.2,1,a (11).JPG,F:\Stills\RPPNP\OCCAJ04Stills\,OCCAJ04,B121000651,OCCAJ04Stills,2592,1944,B12,a (11).JPG,a(11).JPG_OCCAJ04,NA,NA,NA,Y,
2,2122.2,770.4,OCCAJ04_1,0.4,1,a (11).JPG,F:\Stills\RPPNP\OCCAJ04Stills\,OCCAJ04,B121000651,OCCAJ04Stills,2592,1944,B12,a (11).JPG,a(11).JPG_OCCAJ04,NA,NA,NA,Y,
3,455.4,1008,OCCAJ04_2,0.2,1,a (12).JPG,F:\Stills\RPPNP\OCCAJ04Stills\,OCCAJ04,B121000651,OCCAJ04Stills,2592,1944,B12,a (12).JPG,a(12).JPG_OCCAJ04,NA,NA,NA,Y,
3,437.4,763.2,OCCAJ04_3,0.4,1,a (12).JPG,F:\Stills\RPPNP\OCCAJ04Stills\,OCCAJ04,B121000651,OCCAJ04Stills,2592,1944,B12,a (12).JPG,a(12).JPG_OCCAJ04,NA,NA,NA,Y,
27,445.7250022,355.0098334,OCCAJ04_4,Lt,1,a(51)_01.jpeg,F:\Stills\RPPNP\OCCAJ04Stills\,OCCAJ04,B121000651,OCCAJ04Stills,640,480,B12,a(51),a(51)_OCCAJ04,10:25:52,28/08/2015,strict,Y,
27,446.5330102,355.0098334,OCCAJ04_5,Lt,3,a(51)_01.jpeg,F:\Stills\RPPNP\OCCAJ04Stills\,OCCAJ04,B121000651,OCCAJ04Stills,640,480,B12,a(51),a(51)_OCCAJ04,10:25:52,28/08/2015,strict,Y,
28,518.4457202,349.3537776,OCCAJ04_5,Lt,3,a(51)_02.jpeg,F:\Stills\RPPNP\OCCAJ04Stills\,OCCAJ04,B121000651,OCCAJ04Stills,640,480,B12,a(51),a(51)_OCCAJ04,10:25:52,28/08/2015,strict,Y,
29,613.7906614,340.4656898,OCCAJ04_5,Lt,3,a(51)_03.jpeg,F:\Stills\RPPNP\OCCAJ04Stills\,OCCAJ04,B121000651,OCCAJ04Stills,640,480,B12,a(51),a(51)_OCCAJ04,10:25:52,28/08/2015,strict,Y,
110,1415.696566,1408.580364,OCCAJ04_6,0.3,1,PICT0123.JPG,F:\Stills\RPPNP\OCCAJ04Stills\,OCCAJ04,B121000651,OCCAJ04Stills,2592,1944,B12,PICT0123.JPG,PICT0123.JPG_OCCAJ04,NA,NA,NA,Y,
110,1399.282215,842.2852497,OCCAJ04_7,0.4,1,PICT0123.JPG,F:\Stills\RPPNP\OCCAJ04Stills\,OCCAJ04,B121000651,OCCAJ04Stills,2592,1944,B12,PICT0123.JPG,PICT0123.JPG_OCCAJ04,NA,NA,NA,Y,
116,1440.318093,1363.440898,OCCAJ04_8,0.2,1,PICT0129.JPG,F:\Stills\RPPNP\OCCAJ04Stills\,OCCAJ04,B121000651,OCCAJ04Stills,2592,1944,B12,PICT0129.JPG,PICT0129.JPG_OCCAJ04,NA,NA,NA,Y,
116,1448.525269,862.8031886,OCCAJ04_9,0.4,1,PICT0129.JPG,F:\Stills\RPPNP\OCCAJ04Stills\,OCCAJ04,B121000651,OCCAJ04Stills,2592,1944,B12,PICT0129.JPG,PICT0129.JPG_OCCAJ04,NA,NA,NA,Y,
119,1432.110917,1092.604104,OCCAJ04_10,0.2,1,PICT0132.JPG,F:\Stills\RPPNP\OCCAJ04Stills\,OCCAJ04,B121000651,OCCAJ04Stills,2592,1944,B12,PICT0132.JPG,PICT0132.JPG_OCCAJ04,NA,NA,NA,Y,
119,1436.214505,809.4565475,OCCAJ04_11,0.4,1,PICT0132.JPG,F:\Stills\RPPNP\OCCAJ04Stills\,OCCAJ04,B121000651,OCCAJ04Stills,2592,1944,B12,PICT0132.JPG,PICT0132.JPG_OCCAJ04,NA,NA,NA,Y,
