frame_number,x,y,sequence_id,sequence_annotation,number_of_points,still_file,Path,CTsite,CT_serial_number,Folder,xres,yres,Camera_ID
0,128,187.5555556,0,Lt,1,PICT0007_01.jpeg,F:\Stills\GB_OC\OCGB01Stills\,OCGB01,B121000631,OCGB01Stills,720,480,B12
0,127.1402227,192.1299927,1,Lt,3,PICT0007_01.jpeg,F:\Stills\GB_OC\OCGB01Stills\,OCGB01,B121000631,OCGB01Stills,720,480,B12
1,58.71541692,178.4450316,1,Lt,3,PICT0007_02.jpeg,F:\Stills\GB_OC\OCGB01Stills\,OCGB01,B121000631,OCGB01Stills,720,480,B12
2,-11.42000896,171.602551,1,Lt,3,PICT0007_03.jpeg,F:\Stills\GB_OC\OCGB01Stills\,OCGB01,B121000631,OCGB01Stills,720,480,B12
28,1927.330986,1083.420065,2,20,1,PICT0080.JPG,F:\Stills\GB_OC\OCGB01Stills\,OCGB01,B121000631,OCGB01Stills,3264,2448,B12
28,1955.405438,409.6332228,3,40,1,PICT0080.JPG,F:\Stills\GB_OC\OCGB01Stills\,OCGB01,B121000631,OCGB01Stills,3264,2448,B12
34,2004.535729,788.6383217,4,20,1,PICT0086.JPG,F:\Stills\GB_OC\OCGB01Stills\,OCGB01,B121000631,OCGB01Stills,3264,2448,B12
34,2039.628793,353.4843192,5,40,1,PICT0086.JPG,F:\Stills\GB_OC\OCGB01Stills\,OCGB01,B121000631,OCGB01Stills,3264,2448,B12
42,2032.61018,837.7686123,6,20,1,PICT0094.JPG,F:\Stills\GB_OC\OCGB01Stills\,OCGB01,B121000631,OCGB01Stills,3264,2448,B12
42,2046.647406,578.0799334,7,40,1,PICT0094.JPG,F:\Stills\GB_OC\OCGB01Stills\,OCGB01,B121000631,OCGB01Stills,3264,2448,B12
48,2764.792811,468.3070009,8,40,1,PICT0100.JPG,F:\Stills\GB_OC\OCGB01Stills\,OCGB01,B121000631,OCGB01Stills,3264,2448,B12
48,2782.812871,215.0471557,9,60,1,PICT0100.JPG,F:\Stills\GB_OC\OCGB01Stills\,OCGB01,B121000631,OCGB01Stills,3264,2448,B12
52,2754.182355,902.1795505,10,20,1,PICT0104.JPG,F:\Stills\GB_OC\OCGB01Stills\,OCGB01,B121000631,OCGB01Stills,3264,2448,B12
52,2782.812871,558.6133531,11,40,1,PICT0104.JPG,F:\Stills\GB_OC\OCGB01Stills\,OCGB01,B121000631,OCGB01Stills,3264,2448,B12
57,2840.073904,892.636045,12,20,1,PICT0109.JPG,F:\Stills\GB_OC\OCGB01Stills\,OCGB01,B121000631,OCGB01Stills,3264,2448,B12
