"species","frame_number","x","y","sequence_id","number_of_points","still_file","Path","site_id","CT_serial_number","Folder","xdim","ydim","cam_id","file_name","file_id","Time","Date","PA_cat","Dig","radius","angle","pixdiff","dist","time","speed","frames"
"Lt",0,257.3333333,347.5555556,"OCCAJ01_1",7,"a(24)_01.jpeg","F:\Stills\RPPNP\OCCAJ01Stills\","OCCAJ01","B110816640","OCCAJ01Stills",640,480,"B11","a(24)","a(24)_OCCAJ01","08:01:58","15/08/2015","strict","Y",2.23436668731845,-0.0753052729040782,314.292138882094,0.909711350193906,4,0.227427837548477,7
"Mt",22,335.5555556,325.3333333,"OCCAJ01_3",6,"PICT0020_01.jpeg","F:\Stills\RPPNP\OCCAJ01Stills\","OCCAJ01","B110816640","OCCAJ01Stills",640,480,"B11","PICT0020","PICT0020_OCCAJ01","08:55:08","26/09/2015","strict","Y",2.71285718348304,0.018692798282066,52.4821715727383,0.60619748540412,10.5,0.0577330938480114,6
"Lt",27,446.5330102,355.0098334,"OCCAJ04_5",3,"a(51)_01.jpeg","F:\Stills\RPPNP\OCCAJ04Stills\","OCCAJ04","B121000651","OCCAJ04Stills",640,480,"B12","a(51)","a(51)_OCCAJ04","10:25:52","28/08/2015","strict","Y",2.05780376980964,0.15187653218722,167.893116582116,0.456640045071462,1,0.456640045071462,3
"Lt",22,422.700863,399.4624409,"OCCAJ11_2",3,"a(7)_01.jpeg","F:\Stills\RPPNP\OCCAJ11Stills\","OCCAJ11","B131000470","OCCAJ11Stills",720,480,"B13","a(7)","a(7)_OCCAJ11","22:27:26","14/08/2015","strict","Y",1.67454870391426,0.0671700063758008,287.247783377251,0.521683853221254,1,0.521683853221254,3
"Lt",44,209.3792918,356.344251,"OCCAJ11_4",7,"EK000002_01.jpeg","F:\Stills\RPPNP\OCCAJ11Stills\","OCCAJ11","B131000470","OCCAJ11Stills",720,480,"B13","EK000002","EK000002_OCCAJ11","00:35:18","13/09/2015","strict","Y",2.34816000890751,-0.161356533962246,442.786391466932,1.29510239673002,3,0.431700798910006,7
"Lt",66,146.3432156,358.5599158,"OCCAJ11_6",6,"EK000007_01.jpeg","F:\Stills\RPPNP\OCCAJ11Stills\","OCCAJ11","B131000470","OCCAJ11Stills",720,480,"B13","EK000007","EK000007_OCCAJ11","01:25:58","22/09/2015","strict","Y",2.37696309271767,-0.228885646603957,493.760675329517,1.34000442748849,2.5,0.536001770995395,6
"Mt",0,362.2222222,324.4444444,"OCCAJ13_1",8,"a(3)_01.jpeg","F:\Stills\RPPNP\OCCAJ13Stills\","OCCAJ13","B140415863","OCCAJ13Stills",640,480,"B14","a(3)","a(3)_OCCAJ13","21:06","06/08/2015","strict","Y",3.64576106157326,0.0511848113816995,98.4804641795854,0.621074198762125,10.5,0.059149923691631,8
"Da",101,192.1895812,383.9292314,"OCCAJ17_19",11,"a(23)_01.jpeg","F:\Stills\RPPNP\OCCAJ17Stills\","OCCAJ17","B110817581","OCCAJ17Stills",640,480,"B11","a(23)","a(23)_OCCAJ17","21:25:52","14/08/2015","strict","Y",1.97548787304703,-0.153587209509558,290.285066028091,0.963265680170029,10.5,0.0917395885876219,11
"Lt",0,481.3333333,394.6666667,"OCCAJ26_1",5,"a(592)_01.jpeg","F:\Stills\RPPNP\OCCAJ26Stills\","OCCAJ26","B100081557","OCCAJ26Stills",720,480,"B10","a(592)","a(592)_OCCAJ26","23:56:50","26/08/2015","strict","Y",1.31283696558436,0.130178797128386,237.802425698858,0.499571709822599,2,0.2497858549113,5
"Mt",14,652.4849019,397.1492264,"OCCAJ32_1",5,"a(5)_15.jpeg","F:\Stills\RPPNP\OCCAJ32Stills\","OCCAJ32","B121001275","OCCAJ32Stills",640,480,"B12","a(5)","a(5)_OCCAJ32","fail","07/08/2015","strict","Y",1.84599277957465,0.399078895107009,85.8385315943868,0.197280884236103,3.5,0.0563659669246009,5
"Mt",0,396.8888889,447.1111111,"OCCAJ35_1",12,"PICT0005_01.jpeg","F:\Stills\RPPNP\OCCAJ35Stills\","OCCAJ35","B120101027","OCCAJ35Stills",640,480,"B12","PICT0005","PICT0005_OCCAJ35","23:32:02","09/09/2015","strict","Y",1.2415687090902,0.0922891014084197,232.567366878813,1.68672765929949,8.5,0.198438548152881,12
"Lt",0,606.0002787,322.8711984,"OCCAJ39_1",3,"a(08)_01.jpeg","F:\Stills\RPPNP\OCCAJ39Stills\","OCCAJ39","B100815620","OCCAJ39Stills",640,480,"B10","a(8)","a(8)_OCCAJ39","04:29:26","13/08/2015","strict","Y",2.05466186916623,0.345206611017854,35.5327224924614,0.112763538901934,1,0.112763538901934,3
"Lt",21,477.4248417,372.1042765,"OCCAJ39_3",8,"a(11)_01.jpeg","F:\Stills\RPPNP\OCCAJ39Stills\","OCCAJ39","B100815620","OCCAJ39Stills",640,480,"B10","a(11)","a(11)_OCCAJ39","18:10:58","13/08/2015","strict","Y",1.51092749426646,0.190014136840347,148.850545262689,0.726388942399319,4,0.18159723559983,8
"Mt",97,643.6470648,284.9931649,"OCCAJ39_7",5,"PICT0026_14.jpeg","F:\Stills\RPPNP\OCCAJ39Stills\","OCCAJ39","B100815620","OCCAJ39Stills",640,480,"B10","PICT0026","PICT0026_OCCAJ39","03:49:50","27/09/2015","strict","Y",2.69183999776564,0.39064684451821,55.2153271963197,0.205052172998402,3.5,0.0585863351424005,5
"Mt",105,247.2026183,225.437609,"OCCAJ39_9",7,"PICT0027_01.jpeg","F:\Stills\RPPNP\OCCAJ39Stills\","OCCAJ39","B100815620","OCCAJ39Stills",640,480,"B10","PICT0027","PICT0027_OCCAJ39","03:50:40","27/09/2015","strict","Y",2.97881403559801,-0.0878675277585669,232.273918918453,0.998180648513308,10,0.0998180648513308,7
"Lt",0,386.2222222,367.1111111,"OCCL03_1",6,"b(8)_01.jpeg","F:\Stills\Catule\OCCL03Stills\","OCCL03","B121001275","OCCL03Stills",720,480,"B12","b(8)","b(8)_OCCL03","22:59:52","24/05/2016","multiple-use","Y",2.75585556118285,0.0279771713690196,445.5162958812,1.33383327949013,2.5,0.53353331179605,6
"Lt",25,569.3679914,361.175943,"OCCL03_3",3,"PICT0033_04.jpeg","F:\Stills\Catule\OCCL03Stills\","OCCL03","B121001275","OCCL03Stills",720,480,"B12","PICT0033","PICT0033_OCCL03","23:08:22","12/05/2016","multiple-use","Y",2.70175219026947,0.223380159389589,121.859057131381,0.369106026869849,1,0.369106026869849,3
"Mt",0,247.5555556,420.4444444,"OCCL10_1",8,"EK000008_01.jpeg","F:\Stills\Catule\OCCL10Stills\","OCCL10","B131200715","OCCL10Stills",720,480,"B13","EK000008","EK000008_OCCL10","17:24:04","08/05/2016","multiple-use","Y",1.76024479890049,-0.120459172105356,172.622165594181,0.466396706489445,9.5,0.0490943901567836,8
"Lt",5,245.7777778,388.4444444,"OCCL12_1",10,"b(2)_06.jpeg","F:\Stills\Catule\OCCL12Stills\","OCCL12","B140415863","OCCL12Stills",720,480,"B14","b(2)","b(2)_OCCL12","05:23:34","25/05/2016","multiple-use","Y",1.79258511206875,-0.123083008462793,655.983471232499,1.18543639641047,4.5,0.263430310313439,10
"Lt",1,651.1111111,306.6666667,"OCCL14_1",2,"b(14)_02.jpeg","F:\Stills\Catule\OCCL14Stills\","OCCL14","B131200419","OCCL14Stills",720,480,"B13","b(14)","b(14)_OCCL14","23:02:38","12/06/2016","multiple-use","Y",2.82268611515759,0.311860702597561,83.3282961658653,0.559221236153167,1,0.559221236153167,2
