"Directory","FileName","DateTimeOriginal","ImageWidth","ImageHeight","station","deployment","species","count","contact"
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/GitHub/CTtracking/Survey_yyy/Deployments/S01","IMG_0001.JPG","2017:10:02 19:06:43",2048,1536,"S01","S01","fox",1,1
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/GitHub/CTtracking/Survey_yyy/Deployments/S01","IMG_0002.JPG","2017:10:02 19:06:44",2048,1536,"S01","S01","fox",1,NA
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/GitHub/CTtracking/Survey_yyy/Deployments/S01","IMG_0003.JPG","2017:10:02 19:06:45",2048,1536,"S01","S01","fox",1,NA
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/GitHub/CTtracking/Survey_yyy/Deployments/S01","IMG_0004.JPG","2017:10:02 19:06:45",2048,1536,"S01","S01","fox",1,NA
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/GitHub/CTtracking/Survey_yyy/Deployments/S01","IMG_0005.JPG","2017:10:02 19:06:46",2048,1536,"S01","S01","fox",1,NA
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/GitHub/CTtracking/Survey_yyy/Deployments/S01","IMG_0006.JPG","2017:10:02 19:06:47",2048,1536,"S01","S01","fox",1,NA
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/GitHub/CTtracking/Survey_yyy/Deployments/S01","IMG_0011.JPG","2017:10:02 19:07:57",2048,1536,"S01","S01","fox",1,1
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/GitHub/CTtracking/Survey_yyy/Deployments/S01","IMG_0012.JPG","2017:10:02 19:07:58",2048,1536,"S01","S01","fox",1,NA
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/GitHub/CTtracking/Survey_yyy/Deployments/S01","IMG_0013.JPG","2017:10:02 19:07:58",2048,1536,"S01","S01","fox",1,NA
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/GitHub/CTtracking/Survey_yyy/Deployments/S01","IMG_0014.JPG","2017:10:02 19:07:59",2048,1536,"S01","S01","fox",1,NA
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/GitHub/CTtracking/Survey_yyy/Deployments/S01","IMG_0015.JPG","2017:10:02 19:07:59",2048,1536,"S01","S01","fox",1,NA
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/GitHub/CTtracking/Survey_yyy/Deployments/S01","IMG_0016.JPG","2017:10:02 19:08:00",2048,1536,"S01","S01","fox",1,NA
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/GitHub/CTtracking/Survey_yyy/Deployments/S01","IMG_0017.JPG","2017:10:02 19:08:01",2048,1536,"S01","S01","fox",1,NA
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/GitHub/CTtracking/Survey_yyy/Deployments/S01","IMG_0018.JPG","2017:10:02 19:08:01",2048,1536,"S01","S01","fox",1,NA
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/GitHub/CTtracking/Survey_yyy/Deployments/S01","IMG_0019.JPG","2017:10:02 19:08:02",2048,1536,"S01","S01","fox",1,NA
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/GitHub/CTtracking/Survey_yyy/Deployments/S01","IMG_0020.JPG","2017:10:02 19:08:03",2048,1536,"S01","S01","fox",1,NA
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/GitHub/CTtracking/Survey_yyy/Deployments/S01","IMG_0021.JPG","2017:10:02 19:08:04",2048,1536,"S01","S01","fox",1,NA
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/GitHub/CTtracking/Survey_yyy/Deployments/S01","IMG_0022.JPG","2017:10:02 19:08:05",2048,1536,"S01","S01","fox",1,NA
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/GitHub/CTtracking/Survey_yyy/Deployments/S01","IMG_0031.JPG","2017:10:03 06:17:04",2048,1536,"S01","S01","calibration",NA,NA
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/GitHub/CTtracking/Survey_yyy/Deployments/S01","IMG_0032.JPG","2017:10:03 06:17:05",2048,1536,"S01","S01","calibration",NA,NA
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/GitHub/CTtracking/Survey_yyy/Deployments/S01","IMG_0033.JPG","2017:10:03 06:17:06",2048,1536,"S01","S01","calibration",NA,NA
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/GitHub/CTtracking/Survey_yyy/Deployments/S01","IMG_0034.JPG","2017:10:03 06:17:08",2048,1536,"S01","S01","calibration",NA,NA
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/GitHub/CTtracking/Survey_yyy/Deployments/S01","IMG_0035.JPG","2017:10:03 06:17:09",2048,1536,"S01","S01","calibration",NA,NA
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/GitHub/CTtracking/Survey_yyy/Deployments/S01","IMG_0036.JPG","2017:10:03 06:17:10",2048,1536,"S01","S01","calibration",NA,NA
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/GitHub/CTtracking/Survey_yyy/Deployments/S01","IMG_0037.JPG","2017:10:03 06:17:12",2048,1536,"S01","S01","calibration",NA,NA
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/GitHub/CTtracking/Survey_yyy/Deployments/S01","IMG_0038.JPG","2017:10:03 06:17:13",2048,1536,"S01","S01","calibration",NA,NA
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/GitHub/CTtracking/Survey_yyy/Deployments/S01","IMG_0039.JPG","2017:10:03 06:17:14",2048,1536,"S01","S01","calibration",NA,NA
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/GitHub/CTtracking/Survey_yyy/Deployments/S01","IMG_0040.JPG","2017:10:03 06:17:14",2048,1536,"S01","S01","calibration",NA,NA
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/GitHub/CTtracking/Survey_yyy/Deployments/S01","IMG_0041.JPG","2017:10:03 06:17:16",2048,1536,"S01","S01","calibration",NA,NA
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/GitHub/CTtracking/Survey_yyy/Deployments/S01","IMG_0042.JPG","2017:10:03 06:17:17",2048,1536,"S01","S01","calibration",NA,NA
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/GitHub/CTtracking/Survey_yyy/Deployments/S01","IMG_0043.JPG","2017:10:03 06:17:18",2048,1536,"S01","S01","calibration",NA,NA
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/GitHub/CTtracking/Survey_yyy/Deployments/S01","IMG_0044.JPG","2017:10:03 06:17:19",2048,1536,"S01","S01","calibration",NA,NA
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/GitHub/CTtracking/Survey_yyy/Deployments/S01","IMG_0045.JPG","2017:10:03 06:17:19",2048,1536,"S01","S01","calibration",NA,NA
