image_name,x,y,frame_number,sequence_id,number_of_points,name,height,distance
IMG_0001.JPG,1072.183247,954.3594802,0,0,1,,0.05,3
IMG_0001.JPG,1078.866589,80.60927241,0,1,1,,1.05,3
IMG_0002.JPG,212.9791055,967.1365101,1,2,1,,0.05,3
IMG_0002.JPG,184.647677,78.08290094,1,3,1,,1.05,3
IMG_0003.JPG,1849.941046,1004.892061,2,4,1,,0.05,3
IMG_0003.JPG,1880.398656,92.92117062,2,5,1,,1.05,3
IMG_0004.JPG,1092.78381,737.1148439,3,6,1,,0.05,5
IMG_0004.JPG,1091.697075,211.8596631,3,7,1,,1.05,5
IMG_0005.JPG,1892.083822,751.8850609,4,8,1,,0.05,5
IMG_0005.JPG,1906.739072,200.1165827,4,9,1,,1.05,5
IMG_0006.JPG,243.1492322,732.1181965,5,10,1,,0.05,5
IMG_0006.JPG,240.5890721,197.5604511,5,11,1,,1.05,5
IMG_0007.JPG,162.6588983,556.4644513,6,12,1,,0.05,9
IMG_0007.JPG,153.3575968,288.0873138,6,13,1,,1.05,9
IMG_0008.JPG,1010.880478,577.6172541,7,14,1,,0.05,9
IMG_0008.JPG,1029.735857,296.8391246,7,15,1,,1.05,9
IMG_0009.JPG,1744.327532,594.0437802,8,16,1,,0.05,9
IMG_0009.JPG,1749.286889,313.3680287,8,17,1,,1.05,9
