image_name,x,y,frame_number,sequence_id,number_of_points,name,distance,height
IMG_0044.JPG,113.94422232081045,1413.2678723863517,0,0,1,,2,0.2
IMG_0044.JPG,181.65081897484725,579.4789081334004,0,1,1,,2,0.8
IMG_0082.JPG,72.91090429110125,1158.9858014797621,1,2,1,,4,0.2
IMG_0082.JPG,90.52992960218158,740.5105896015995,1,3,1,,4,0.8
IMG_0102.JPG,41.8831008242526,1070.7881673838924,2,4,1,,6,0.2
IMG_0102.JPG,51.46995654499248,790.8542477593168,2,5,1,,6,0.8
IMG_0209.JPG,928.7606829612572,1373.4015421658241,3,6,1,,2,0.2
IMG_0209.JPG,915.7768543080884,569.5684394913318,3,7,1,,2,0.8
IMG_0227.JPG,912.4640383758689,1115.6397410321367,4,8,1,,4,0.2
IMG_0227.JPG,894.9022845517283,715.0858798705502,4,9,1,,4,0.8
IMG_0249.JPG,928.6400798431993,1029.1555846198512,5,10,1,,6,0.2
IMG_0249.JPG,924.0079242177492,761.3546803157035,5,11,1,,6,0.8
IMG_0342.JPG,1626.377245596115,1361.3149233004915,6,12,1,,2,0.2
IMG_0342.JPG,1576.2405746205748,546.5482753564471,6,13,1,,2,0.8
IMG_0356.JPG,1673.0749525512229,1082.7482750841466,7,14,1,,4,0.2
IMG_0356.JPG,1642.5594430021229,672.448255036314,7,15,1,,4,0.8
IMG_0389.JPG,1691.086353292688,996.8034591350581,8,16,1,,6,0.2
IMG_0389.JPG,1680.3018688387212,722.9206931360904,8,17,1,,6,0.8
