image_name,x,y,frame_number,sequence_id,number_of_points,name,height
IMG_0001.JPG,2611.579051,1414.004977,0,0,4,fox,
IMG_0002.JPG,1962.287269,1288.849421,1,0,4,fox,
IMG_0003.JPG,1647.502083,1262.301273,2,0,4,fox,
IMG_0004.JPG,1219.746652,1284.653063,3,0,4,fox,
IMG_0011.JPG,1040.687384,1360.908681,6,1,12,fox,
IMG_0012.JPG,1215.146644,1402.627199,7,1,12,fox,
IMG_0013.JPG,1237.902199,1410.212384,8,1,12,fox,
IMG_0014.JPG,1237.902199,1410.212384,9,1,12,fox,
IMG_0015.JPG,1237.902199,1410.212384,10,1,12,fox,
IMG_0016.JPG,1237.902199,1410.212384,11,1,12,fox,
IMG_0017.JPG,1260.657755,1417.797569,12,1,12,fox,
IMG_0018.JPG,1260.657755,1417.797569,13,1,12,fox,
IMG_0019.JPG,1260.657755,1417.797569,14,1,12,fox,
IMG_0020.JPG,1260.657755,1417.797569,15,1,12,fox,
IMG_0021.JPG,1260.657755,1417.797569,16,1,12,fox,
IMG_0022.JPG,2474.287616,1239.545718,17,1,12,fox,
IMG_0039.JPG,1896.323307,1333.548178,26,2,1,,0.2
IMG_0039.JPG,1889.415887,274.4104603,26,3,1,,0.6
IMG_0048.JPG,137.2379933,1048.425969,35,4,1,,0.4
IMG_0048.JPG,109.6083141,486.6224575,35,5,1,,0.6
IMG_0058.JPG,1155.868992,1366.901357,45,6,1,,0.2
IMG_0058.JPG,1132.513461,510.2421641,45,7,1,,0.6
IMG_0066.JPG,1625.733119,901.5222798,53,8,1,,0.4
IMG_0066.JPG,1639.711375,174.9484792,53,9,1,,0.8
IMG_0073.JPG,1181.16878,1230.63262,60,10,1,,0.2
IMG_0073.JPG,1180.3772,380.920684,60,11,1,,0.8
IMG_0081.JPG,1233.513549,906.9896257,68,12,1,,0.4
IMG_0081.JPG,1224.759156,237.4311284,68,13,1,,1
IMG_0089.JPG,1588.987353,625.2097483,76,0,1,,0.6
IMG_0089.JPG,1576.936965,202.5987928,76,1,1,,1
IMG_0097.JPG,1076.570312,764.5795726,84,2,1,,0.6
IMG_0097.JPG,1075.72167,393.7342217,84,3,1,,1
IMG_0108.JPG,813.4775938,987.6194129,95,4,1,,0.4
IMG_0108.JPG,751.5285992,384.2531784,95,5,1,,1
IMG_0141.JPG,2394.643171,1299.911111,100,6,1,fox,
