image_name,x,y,frame_number,sequence_id,number_of_points,name,height
IMG_0155.JPG,1950.935012,1371.071307,14,0,1,,0.2
IMG_0155.JPG,1917.806949,543.1737338,14,1,1,,0.4
IMG_0161.JPG,399.6045545,1312.958463,20,2,1,,0.2
IMG_0161.JPG,385.7897149,527.815107,20,3,1,,0.4
IMG_0169.JPG,991.3836806,1127.03206,28,4,1,,0.2
IMG_0169.JPG,983.7984954,144.7506221,28,5,1,,0.6
IMG_0175.JPG,358.0207176,1047.387616,34,6,1,,0.2
IMG_0175.JPG,369.3984954,269.9061632,34,7,1,,0.6
IMG_0180.JPG,795.2552195,920.2229128,39,8,1,,0.2
IMG_0180.JPG,786.6202128,51.04072899,39,9,1,,0.8
IMG_0184.JPG,1393.398495,876.7210069,43,10,1,,0.2
IMG_0184.JPG,1378.228125,307.8320891,43,11,1,,0.6
IMG_0195.JPG,1628.539352,781.9061921,54,12,1,,0.2
IMG_0195.JPG,1620.954167,137.1654369,54,13,1,,0.8
IMG_0200.JPG,1173.428125,793.2839699,59,14,1,,0.2
IMG_0200.JPG,1150.672569,167.5061777,59,15,1,,0.8
IMG_0202.JPG,725.9021991,812.2469329,61,16,1,,0.2
IMG_0202.JPG,699.3540509,209.2246962,61,17,1,,0.8
IMG_0205.JPG,345.018232,829.3160109,64,18,1,,0.2
IMG_0205.JPG,315.5728312,56.65212476,64,19,1,,1
IMG_0212.JPG,980.6402142,731.7602721,71,20,1,,0.2
IMG_0212.JPG,966.3824184,81.77134426,71,21,1,,1
IMG_0220.JPG,1417.873512,737.6941866,79,22,1,,0.2
IMG_0220.JPG,1422.96521,98.68604867,79,23,1,,1
IMG_0391.JPG,101.5326513,1186.765716,80,24,2,fox,
IMG_0392.JPG,1183.099306,1334.360532,81,24,2,fox,
IMG_0441.JPG,1232.403009,879.2494213,83,25,2,fox,
IMG_0442.JPG,1827.840046,761.6790509,84,25,2,fox,
